ID	DOCULECT	SUBGROUP	CONCEPT	VALUE	IPA	TOKENS	COGIDS	MORPHEMES	STRUCTURE	NOTE	CHARACTERS	CHARACTER_IS
2432	Nanchang		heavy	tsʰuŋ²¹	tsʰuŋ²¹	tsʰ u ŋ ²¹	517	heavy/重	i n c t		重	
2433	Meixian		heavy	tsʰuŋ⁵³	tsʰuŋ⁵³	tsʰ u ŋ ⁵³	517	heavy/重	i n c t		重	
2434	Guilin		heavy	tsuɤŋ²³	tswɤŋ²³	ts w ɤ ŋ ²³	517	heavy/重	i m n c t		重	
2435	Guangzhou		heavy	tsoŋ²²	tsoŋ²²	ts o ŋ ²²	517	heavy/重	i n c t		重	
2436	Fuzhou		heavy	tɔyŋ²⁴²	tɔyŋ²⁴²	t ɔy ŋ ²⁴²	517	heavy/重	i n c t		重	
2437	Xiamen		heavy	taŋ²²	taŋ²²	t a ŋ ²²	517	heavy/重	i n c t		重	
2438	Beijing		scratch	tʂuᴀ⁵⁵	ʈʂwa̠⁵⁵	ʈʂ w a̠ ⁵⁵	518	scratch/抓	i m n t		抓	
2439	Ha_erbin		scratch	tʂua⁴⁴	ʈʂwa⁴⁴	ʈʂ w a ⁴⁴	518	scratch/抓	i m n t		抓	
2440	Ha_erbin		scratch	tau⁴⁴	tau⁴⁴	t au ⁴⁴	519	scratch/叨	i n t		叨	
2441	Jinan		scratch	tʂua²¹⁴	ʈʂwa²¹⁴	ʈʂ w a ²¹⁴	518	scratch/抓	i m n t		抓	
2442	Rongcheng		scratch	tʂua²¹⁴	ʈʂwa²¹⁴	ʈʂ w a ²¹⁴	518	scratch/抓	i m n t		抓	
2443	Taiyuan		scratch	tsua²¹	tswa²¹	ts w a ²¹	518	scratch/抓	i m n t		抓	
2444	Xi_an		scratch	pfɑ²¹	pfɑ²¹	pf ɑ ²¹	518	scratch/抓	i n t		抓	
2445	Chengdu		scratch	pa⁴⁵	pa⁴⁵	p a ⁴⁵	780	scratch/巴	i n t		巴	
2446	Chengdu		scratch	tai²¹	tai²¹	t ai ²¹	520	hold.take/逮	i n t		逮	
2447	Chengdu		scratch	tsua⁴⁵	tswa⁴⁵	ts w a ⁴⁵	518	scratch/抓	i m n t		抓	
2448	Nanjing		scratch	tsuɑ³¹	tswɑ³¹	ts w ɑ ³¹	518	scratch/抓	i m n t		抓	
2449	Jixi		scratch	tso⁵⁵	tso⁵⁵	ts o ⁵⁵	518	scratch/抓	i n t		抓	
2450	Suzhou		scratch	tsoʔ⁴	tsoʔ⁴	ts o ʔ ⁴	521	scratch/捉	i n c t		捉	
2451	Suzhou		scratch	o⁴⁴	o⁴⁴	o ⁴⁴	522	scratch/搲	n t		搲	
2452	Suzhou		scratch	no¹³	no¹³	n o ¹³	523	hold.take/拿	i n t		拿	
2453	Wenzhou		scratch	tɕyo⁴¹	tɕɥo⁴¹	tɕ ɥ o ⁴¹	518	scratch/抓	i m n t		抓	
2454	Changsha		scratch	tɕya³³	tɕɥa³³	tɕ ɥ a ³³	518	scratch/抓	i m n t		抓	
2455	Loudi		scratch	tsɔ⁴⁴	tsɔ⁴⁴	ts ɔ ⁴⁴	518	scratch/抓	i n t		抓	
2456	Nanchang		scratch	tsua⁴²	tswa⁴²	ts w a ⁴²	518	scratch/抓	i m n t		抓	
2457	Meixian		scratch	tsa³³	tsa³³	ts a ³³	518	scratch/抓	i n t		抓	
2458	Meixian		scratch	tsok¹¹	tsok¹¹	ts o k ¹¹	521	scratch/捉	i n c t		捉	
2459	Guilin		scratch	tsuo⁵⁵	tswo⁵⁵	ts w o ⁵⁵	521	scratch/捉	i m n t		捉	
